Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Jenkins Integration with Katalon_TestSuite,Chrome 121.0.0.0,,,08-02-2024 00:37:26,08-02-2024 00:37:36,10.110s,PASSED
,,,,,,,
Test Cases/Jenkins Integration/TC_Validate OHRM Login_Login Success_001,Chrome 121.0.0.0,,,08-02-2024 00:37:27,08-02-2024 00:37:36,8.758s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 00:37:27,08-02-2024 00:37:30,2.521s,PASSED
"comment(""To test for successful Login"")",Chrome 121.0.0.0,,,08-02-2024 00:37:30,08-02-2024 00:37:30,0.006s,PASSED
"setText(findTestObject(""OrangeHRM_OR/Page_OHRM_Login/input_Username_username""), Username)",Chrome 121.0.0.0,,,08-02-2024 00:37:30,08-02-2024 00:37:31,1.063s,PASSED
"setText(findTestObject(""OrangeHRM_OR/Page_OHRM_Login/input_Password_password""), Password)",Chrome 121.0.0.0,,,08-02-2024 00:37:31,08-02-2024 00:37:31,0.496s,PASSED
"click(findTestObject(""OrangeHRM_OR/Page_OHRM_Login/button_Login""))",Chrome 121.0.0.0,,,08-02-2024 00:37:31,08-02-2024 00:37:32,0.258s,PASSED
"verifyElementVisible(findTestObject(""OrangeHRM_OR/Page_OHRM_Dashboard/h6_Dashboard""))",Chrome 121.0.0.0,,,08-02-2024 00:37:32,08-02-2024 00:37:34,1.955s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 00:37:34,08-02-2024 00:37:36,2.409s,PASSED
